1790187471.944082000	239126	3917840384
1790187472.462079000	238268	3903782912
1790187472.971458000	238306	3904405504
1790187473.487916000	239203	3919101952
1790187473.999194000	436655	7154155520
1790187474.513965000	435708	7138639872
1790187475.033763000	438143	7178534912
1790187475.551806000	433097	7095861248
1790187476.060830000	433165	7096975360
1790187476.572306000	429205	7032094720
1790187477.090111000	433133	7096451072
1790187477.612771000	433005	7094353920
1790187478.127369000	429346	7034404864
1790187478.651579000	429624	7038959616
1790187479.170705000	429459	7036256256
1790187479.718369000	434030	7111147520
1790187480.238615000	438911	7191117824
1790187480.755571000	438739	7188299776
1790187481.313527000	437849	7173718016
1790187481.919330000	433659	7105069056
1790187482.528523000	443223	7261765632
1790187483.073149000	447041	7324319744
1790187483.692663000	433658	7105052672
1790187484.249196000	433546	7103217664
1790187484.800117000	433568	7103578112
1790187485.378558000	437327	7165165568
1790187485.914870000	433325	7099596800
1790187486.433162000	235306	3855253504
1790187486.944510000	235277	3854778368
1790187487.463313000	235324	3855548416
1790187487.977176000	235330	3855646720
1790187488.495645000	238326	3904733184
1790187489.009451000	238353	3905175552
1790187489.551392000	245421	4020977664
1790187490.081003000	247280	4051435520
1790187490.615719000	243552	3990355968
1790187491.154001000	248194	4066410496
1790187491.680098000	601154	9849307136
1790187492.198157000	597231	9785032704
1790187492.722238000	597609	9791225856
1790187493.258749000	594244	9736093696
1790187493.810884000	590360	9672458240
1790187494.383618000	590376	9672720384
1790187494.911718000	594111	9733914624
1790187495.439731000	597866	9795436544
1790187495.974388000	594195	9735290880
1790187496.504118000	594249	9736175616
1790187497.048362000	600910	9845309440
1790187497.581565000	597137	9783492608
1790187498.147740000	598024	9798025216
1790187498.683291000	594078	9733373952
1790187499.195496000	592667	9710256128
1790187499.709211000	596543	9773760512
1790187500.230666000	595559	9757638656
1790187500.759041000	595662	9759326208
1790187501.289953000	599264	9818341376
1790187501.808234000	601991	9863020544
1790187502.324648000	248383	4069507072
1790187502.840887000	248343	4068851712
1790187503.359626000	245480	4021944320
1790187503.886493000	245486	4022042624
1790187504.399335000	248468	4070899712
1790187504.929066000	247352	4052615168
1790187505.478424000	248321	4068491264
1790187506.006910000	322476	5283446784
1790187506.522197000	314015	5144821760
1790187507.034595000	310792	5092016128
1790187507.546107000	310559	5088198656
1790187508.065588000	311259	5099667456
1790187508.575411000	313979	5144231936
1790187509.094317000	325273	5329272832
